init_img | 512*512 px,prompt,Guidence Scale,Number of Iterations,Seed,Strength,Generated images,flag,username,timestamp
/Users/lea/StableDiffusionApp_img2img/flagged/init_img  512512 px/tmpsdvburve.jpg,,7,25,905229539,0.75,/Users/lea/StableDiffusionApp_img2img/flagged/Generated images/962ede21-d0a7-402e-a0b2-38f60d42c8f3,,,2022-11-11 12:42:06.510574
/Users/lea/StableDiffusionApp_img2img/flagged/init_img  512512 px/tmp39oodnqv.jpg,,7,25,514286761,0.75,/Users/lea/StableDiffusionApp_img2img/flagged/Generated images/4fb56dd0-811c-49c0-a234-cc752924e431,,,2022-11-17 23:23:51.199698
/Users/lea/StableDiffusionApp_img2img/flagged/init_img  512512 px/tmpd0fs8xy8.jpg,future buildling ,7,25,1665855752,0.75,/Users/lea/StableDiffusionApp_img2img/flagged/Generated images/2af95b25-7eb0-45f5-a59b-b8ea2438eff1,,,2022-11-19 23:28:00.617729
/Users/lea/StableDiffusionApp_img2img/flagged/init_img  512512 px/tmp4i6k63ty.jpg,future buildling ,7,25,1665855752,0.75,/Users/lea/StableDiffusionApp_img2img/flagged/Generated images/4b90c264-fb00-4bf0-a397-e60ed02be0af,,,2022-11-19 23:28:01.310143
/Users/lea/StableDiffusionApp_img2img/flagged/init_img  512512 px/tmp9qbifqve.jpg,future buildling ,7,25,1665855752,0.75,/Users/lea/StableDiffusionApp_img2img/flagged/Generated images/602ed210-9d5b-4d44-ad15-24417da99d85,,,2022-11-19 23:28:01.521079
/Users/lea/StableDiffusionApp_img2img/flagged/init_img  512512 px/tmpbhp_te41.jpg,future buildling ,7,25,1665855752,0.75,/Users/lea/StableDiffusionApp_img2img/flagged/Generated images/725bf441-fc23-4757-be36-136b1a4e1450,,,2022-11-19 23:28:02.382780
/Users/lea/StableDiffusionApp_img2img/flagged/init_img  512512 px/tmpwkkxkvp_.jpg,future buildling ,7,25,1665855752,0.75,/Users/lea/StableDiffusionApp_img2img/flagged/Generated images/66968827-4332-4693-ab02-55b395813726,,,2022-11-19 23:28:08.368503
/Users/lea/StableDiffusionApp_img2img/flagged/init_img  512512 px/tmp3dux2bba.jpg,future buildling ,7,25,1665855752,0.75,/Users/lea/StableDiffusionApp_img2img/flagged/Generated images/33d9cf01-7038-4aaa-911e-1c4438583018,,,2022-11-19 23:30:18.502079
/Users/lea/StableDiffusionApp_img2img/flagged/init_img  512512 px/tmp_8njmo54.jpg,future buildling ,7,25,1665855752,0.75,/Users/lea/StableDiffusionApp_img2img/flagged/Generated images/9ed333e5-6263-45e3-9441-8f399c17b0a2,,,2022-11-19 23:30:18.896423
,,7,25,1891080682,0.75,/Users/lea/StableDiffusionApp_img2img/flagged/Generated images/337d0a40-9760-4ed3-9dce-986810449df0,,,2022-11-20 01:12:30.903619
/Users/lea/StableDiffusionUI_Gradio/flagged/init_img  512512 px/tmp46cdpair.jpg,Cartoon Style,7,25,0,0.45,/Users/lea/StableDiffusionUI_Gradio/flagged/Generated images/ab483e6a-cb71-41f1-8017-09d55d425a2a,,,2022-11-23 02:37:45.336092
/Users/lea/StableDiffusionUI_Gradio/flagged/init_img  512512 px/tmpw5409hn1.jpg,Cartoon Style,7,25,0,0.45,/Users/lea/StableDiffusionUI_Gradio/flagged/Generated images/47ee52e4-c3e0-496d-8a78-a19c0649f175,,,2022-11-23 02:37:45.838111
/Users/lea/StableDiffusionUI_Gradio/flagged/init_img  512512 px/tmp32n1p6_o.jpg,Cartoon Style,7,25,0,0.45,/Users/lea/StableDiffusionUI_Gradio/flagged/Generated images/645e0e4d-316a-4853-8567-aac426b1815e,,,2022-11-23 02:37:46.045664
/Users/lea/StableDiffusionUI_Gradio/flagged/init_img  512512 px/tmpbl12c9qe.jpg,Cartoon Style,7,25,0,0.45,/Users/lea/StableDiffusionUI_Gradio/flagged/Generated images/a93ab46c-11cc-43ff-87f6-7de0fb4c1678,,,2022-11-23 02:37:46.196960
/Users/lea/StableDiffusionUI_Gradio/flagged/init_img  512512 px/tmp6xdincvr.jpg,Cartoon Style,7,25,0,0.45,/Users/lea/StableDiffusionUI_Gradio/flagged/Generated images/bf7a187c-bf53-48a1-bc31-d635bee7ef1b,,,2022-11-23 02:37:46.363573
/Users/lea/StableDiffusionUI_Gradio/flagged/init_img  512512 px/tmpxf8je5b6.jpg,Cartoon Style,7,25,0,0.45,/Users/lea/StableDiffusionUI_Gradio/flagged/Generated images/bb54f10d-7c03-448e-abcc-6a0b10d9fe1f,,,2022-11-23 02:37:47.461131
/Users/lea/StableDiffusionUI_Gradio/flagged/init_img  512512 px/tmp8qn_51oo.jpg,Cartoon Style,7,25,0,0.45,/Users/lea/StableDiffusionUI_Gradio/flagged/Generated images/a895db80-cb57-49df-a3c7-16af481d2822,,,2022-11-23 02:37:48.256855
/Users/lea/StableDiffusionUI_Gradio/flagged/init_img  512512 px/tmp6b3fefbb.jpg,Cartoon Style,7,25,0,0.45,/Users/lea/StableDiffusionUI_Gradio/flagged/Generated images/875a9588-2bd7-4087-be19-531f29a04d5e,,,2022-11-23 02:37:49.119661
